nome,categoria,url,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
IMMUNO GOLDEN WHEY,,https://www.essentialnutrition.com.br/immuno-golden-whey,"Porção: 32g
(1 colher-medida)",122.0,4.1,22.0,1.9,1.7,1.0,0.0,104.0
H.I. WHEY,,https://www.essentialnutrition.com.br/h-i-whey-protein-sem-sabor,"Porção: 25g
(1 colher-medida, conforme marcação)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,92.0
SUPER OMEGA-3 TG,,https://www.essentialnutrition.com.br/super-omega-3-tg-60-caps,,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
VEGGIE PROTEIN BANANA COM CANELA,,https://www.essentialnutrition.com.br/veggie-protein-banana-com-canela-sache-avulso,"Porção: 33g
(1 sachê)",134.0,3.6,22.0,3.5,0.0,2.1,2.0,282.0
RADIANCE JOY CHOCOLATE,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-chocolate,"Porção: 50g
(1 barra)",196.0,11.0,11.0,11.0,0.0,11.0,0.0,80.0
BERRYKI,,https://www.essentialnutrition.com.br/berryki-polivitaminico-frutas-vermelhas,"Porção: 15g
(2 colheres de sopa rasas)",33.0,11.0,0.0,0.0,0.0,2.8,0.0,13.0
PROBIO 20BI,,https://www.essentialnutrition.com.br/probio-20-bi-probioticos,"Porção: 751,2mg (2 cápsulas)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPER OMEGA-3 TG,,https://www.essentialnutrition.com.br/super-omega-3-tg-120-caps,"Porção: 4,3g
(6 cápsulas)",27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA BRAIN,,https://www.essentialnutrition.com.br/omega-brain-cafeina-fosfatidilserina,"Porção: 2,9g
(2 cápsula)",11.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
VIT D3,,https://www.essentialnutrition.com.br/vit-d3-vitamina-d,"Porção: 0,8g
(1 cápsula)",5.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0
XYLITOL,,https://www.essentialnutrition.com.br/xylitol-adocante-natural-900g,"Quantidade por porção: 3,3g
(1 colher de chá)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN 2 JOINT LIMÃO-SICILIANO,,https://www.essentialnutrition.com.br/collagen-2-joint-limao-siciliano-lata,"Porção: 11,7g
(1 colher-medida, conforme marcação)",36.0,0.7,8.4,0.0,0.0,0.0,0.0,45.0
RADIANCE JOY CHOCOLATE,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-chocolate-box,"Porção: 50g
(1 barra)",196.0,11.0,11.0,11.0,0.0,11.0,0.0,80.0
D-RIBOSE,,https://www.essentialnutrition.com.br/d-ribose-em-po,"Porção: 2,5g
(1 colher-medida, conforme marcação)",10.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0
ESPRESSO WHEY,,https://www.essentialnutrition.com.br/espresso-whey-protein-hidrolisado-e-isolado-box,"Porção: 30g
(1 sachê)",110.0,4.5,22.0,0.4,0.2,0.7,0.0,86.0
XYLITOL,,https://www.essentialnutrition.com.br/xylitol-em-sache-box,"Porção: 5g
(1 sachê)",238.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
RADIANCE JOY GOLDEN MILK,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-golden-milk,Porção: 50g (1 barra),168.0,14.0,11.0,8.2,4.2,8.5,3.8,48.0
CREATINE ACTION GUMMY LARANJA,,https://www.essentialnutrition.com.br/creatina-em-goma-sabor-laranja,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RED BERRY WHEY,,https://www.essentialnutrition.com.br/red-berry-whey-antioxidante-sache,"Porção: 30g
(1 sachê)",109.0,5.1,22.0,0.0,0.0,0.0,1.1,97.0
BCAA LIFT 8:1:1 LIMÃO,,https://www.essentialnutrition.com.br/bcaa-lift-8-1-1-limao,"Quantidade por porção:7g
(1 colher-medida conforme marcação)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYDROLIFT LIMÃO-SICILIANO,,https://www.essentialnutrition.com.br/hydrolift-limao-siciliano-eletrolitos-e-vitamina-c,"Porção: 3,3g
(1 stick)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
COLLAGEN GUT LARANJA E BLUEBERRY,,https://www.essentialnutrition.com.br/collagen-gut-laranja-e-blueberry,"Porção: 20g
(1 colher-medida)",31.0,0.8,4.2,0.0,0.0,5.7,0.0,73.0
VEGGIE PROTEIN VANILLA,,https://www.essentialnutrition.com.br/veggie-protein-vanilla-baunilha-box,"Porção: 30g
(1 sachê)",123.0,0.8,22.0,3.5,0.5,1.6,0.0,310.0
CHOCOLIFT BE POWERFUL,,https://www.essentialnutrition.com.br/chocolift-be-powerful-chocolate-whey-protein-nibs-de-cacau-caixa,"Porção: 40g
(1 unidade)",473.0,31.0,20.0,35.0,22.0,8.8,0.6,46.0
CHOCOLIFT BE BRILLIANT,,https://www.essentialnutrition.com.br/chocolift-be-brilliant-chocolate-whey-protein-castanha-caixa,Quantidade por porção: 40g (1 barra),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADIANCE JOY BERRIES + WHITE CHOCOLATE,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-berries-white-chocolate,Porção: 50g (1 barra),164.0,15.0,10.0,7.9,0.0,8.6,0.0,53.0
FIBERLIFT,,https://www.essentialnutrition.com.br/fiberlift-suplemento-de-fibras-em-po,"Porção: 10g
(2 colheres-medida)",16.0,0.6,0.0,0.0,0.0,8.9,0.6,0.0
BEEF PROTEIN CACAO,,https://www.essentialnutrition.com.br/beef-protein-cacao-proteina-hidrolisada,Porção: 32g (1 colher-medida),59.0,1.7,12.0,0.6,0.3,1.0,0.0,84.0
CACAO WHEY,,https://www.essentialnutrition.com.br/cacao-whey-protein-chocolate-30-doses,"Porção: 28g
(1 colher-medida)",104.0,1.9,22.0,0.9,0.5,1.6,0.0,89.0
RADIANCE JOY GOLDEN MILK,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-golden-milk-box,Porção: 50g (1 barra),168.0,14.0,11.0,8.2,4.2,8.5,3.8,48.0
KRILL OIL,,https://www.essentialnutrition.com.br/krill-oil-capsulas,"Porção: 1,4g
(2 cápsulas)",9.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0
CHOCOLIFT BE BRILLIANT,,https://www.essentialnutrition.com.br/chocolift-be-brilliant-chocolate-whey-protein-castanha,Quantidade por porção: 40g (1 barra),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN SKIN LIMÃO-SICILIANO,,https://www.essentialnutrition.com.br/collagen-skin-limao-siciliano,"Porção: 11g
(1 colher-medida, conforme marcação)",36.0,0.7,8.4,0.0,0.0,0.0,0.0,105.0
VITAMINI C GUMMY,,https://www.essentialnutrition.com.br/vitamini-c-gummy-gomas-vitaminadas,,5.0,1.6,0.0,0.0,0.0,0.9,0.0,0.0
COQ10,,https://www.essentialnutrition.com.br/coq10-em-capsula-120,"Porção: 1,5g (2 cápsulas)",7.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
CARBPRO 4:1 ENDURANCE & RECOVERY CITRUS,,https://www.essentialnutrition.com.br/carbpro-4-1-citrus,"Porção: 70g
(2 colheres-medida, conforme marcação)",248.0,50.0,12.0,0.0,0.0,0.0,35.0,67.0
GOLDEN LIFT,,https://www.essentialnutrition.com.br/golden-lift,Quantidade por porção: 7g (1 scoop),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELATONIN DUO HARMONY,,https://www.essentialnutrition.com.br/melatonin-duo-harmony-melatonina-nutrientes-essenciais,"Porção: 0,8g
(1 cápsula)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNO VEGGIE PROTEIN CHOCOLATE,,https://www.essentialnutrition.com.br/immuno-veggie-protein-chocolate-box,"Porção: 36,6g (1 sachê)",133.0,4.4,22.0,3.0,1.5,3.8,0.0,200.0
CHOCOLIFT BE ALIVE,,https://www.essentialnutrition.com.br/chocolift-be-alive-chocolate-whey-protein-berries-caixa,"Porção: 40g
(1 unidade)",457.0,36.0,20.0,32.0,20.0,7.5,2.9,49.0
CAPPUCCINO WHEY,,https://www.essentialnutrition.com.br/cappuccino-whey-protein-sache,"Porção: 30g
(1 sachê)",104.0,2.9,22.0,0.5,0.2,0.7,0.0,93.0
COLLAGEN PEPT PROTEIN,,https://www.essentialnutrition.com.br/collagen-pept-protein-bebida-proteica,"Porção: 250 ml
(1 unidade)",126.0,2.6,20.0,3.5,3.3,4.1,0.0,90.0
OMEGA CORE,,https://www.essentialnutrition.com.br/omega-core-astaxantina-coq10,"Porção: 2,1g
(2 cápsulas)",12.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
BEEF PROTEIN CACAO,,https://www.essentialnutrition.com.br/beef-protein-cacao-proteina-hidrolisada-box,Quantidade por porção: 32g (1 sachê),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMMUNO WHEY CHOCOLATE,,https://www.essentialnutrition.com.br/immuno-whey-chocolate-sache,"Porção: 31g
(1 sachê)",102.0,1.6,22.0,0.8,0.4,1.9,0.0,129.0
CHOCOLIFT BE ALIVE,,https://www.essentialnutrition.com.br/chocolift-be-alive-chocolate-whey-protein-berries,"Porção: 40g
(1 unidade)",457.0,36.0,20.0,32.0,20.0,7.5,2.9,49.0
HAPPY THEANINE,,https://www.essentialnutrition.com.br/happy-theanine-l-teanina-pura,"Porção: 0,5g
(1 cápsula)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN 2 JOINT LIMÃO-SICILIANO,,https://www.essentialnutrition.com.br/collagen-2-joint-limao-siciliano-box,"Porção: 11,7g
(1 sticks)",36.0,0.7,8.4,0.0,0.0,0.0,0.0,45.0
HYDROLIFT NEUTRO,,https://www.essentialnutrition.com.br/hydrolift-neutro-eletrolitos-e-vitamina-c,"Porção: 1,8g
(1 stick)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
IMMUNO WHEY CHOCOLATE,,https://www.essentialnutrition.com.br/immuno-whey-chocolate-box,"Porção: 31g
(1 sachê)",102.0,1.6,0.0,0.8,0.4,0.0,0.0,129.0
COLLAGEN ESSENTIAL PROTEIN FRUTAS TROPICAIS,,https://www.essentialnutrition.com.br/collagen-essential-protein-frutas-tropicais,"Porção: 17,1g
(1 colher-medida)",59.0,0.8,14.0,0.0,0.0,0.0,0.0,48.0
PINEAPPLE WHEY,,https://www.essentialnutrition.com.br/pineapple-whey-abacaxi-com-agua-de-coco-sache,"Porção: 30g
(1 sachê)",109.0,5.1,22.0,0.0,0.0,0.6,2.3,88.0
